distances_dijkstra,distances_euclidean
4891.816652654941,3428.211358441195
10392.794378588907,7763.9701030318365
1725.5786468256547,1127.3506773259835
4399.670320529618,3406.344298576653
5331.840834936349,2707.696240317647
10344.34834066684,7119.262014198898
6313.784784938349,4855.07298993003
7591.95620773587,4974.358692836142
9632.652028595952,6663.1247543805885
3182.5847180674127,2322.1001522849565
12748.97037645413,9235.811042257157
2641.7456845341276,1690.495899380225
5800.810601615705,4550.0428202248795
5504.542382574466,3908.351400312281
6031.132723425794,4591.404825917091
6191.158166323172,4033.372896386138
6456.845720660886,3897.509725142216
3292.164277899406,2337.590983293271
4514.80009294028,3137.7340016113135
2481.1535164527454,1980.2853379120945
626.0866915313186,450.43862353140486
5029.786704004274,3393.958506692313
4165.921386263796,3099.47392579603
4549.232674494376,3070.2120688320238
9856.112156264746,6539.0484254832245
3259.497761102249,2200.912357018129
6621.6707155574395,5039.460552513961
1098.1783427544476,991.3514593101802
8139.326287712746,6020.966518666872
3959.588922391506,2273.1821079348288
3661.905655091787,2687.7541853197695
7738.9096893414,4020.6137128124296
4592.805007231535,3153.5675782504018
5121.966507621181,3379.0599775227097
10267.164607244731,5985.951797934388
2211.6923624826213,836.3047394170011
6128.302563439876,4323.610929902995
8527.843183854895,5598.073310510691
3491.4263270464194,1824.7982707722724
8819.439674017987,6825.011830924631
2068.2918329548156,1117.8689399245595
5737.12619616607,3492.1326035968714
6987.580160777516,4900.700310585036
6565.7215796145165,3549.939995942735
5079.796480670019,2804.873257679145
2145.767349113075,1521.354051652581
4428.631336007826,2850.430960268815
5570.129213222425,3500.483743134884
4606.814889856886,2443.6945554910367
3380.099532508665,1930.6004011258294
6742.278778694219,3101.2836879781685
9812.532988792742,7286.091139951755
7625.974814979081,5402.980067827639
5702.75617144617,4186.713278824179
4345.594255037965,2519.886221729876
5185.43473533857,3534.6021823565397
4657.214295746112,2905.175504842032
8176.1045665703095,5557.13824401654
4858.124993503616,2254.6424252060015
4782.519825675876,3239.5457098852676
4186.2888032825995,2569.1752042619614
10875.715881277642,6390.236202514169
7772.534768885591,6108.31702377454
2473.326778701396,1504.4981836789018
9891.111756874341,6158.511823390165
7425.090835460066,5349.746202771779
3770.335045591523,2374.5680227185107
1668.0760731149412,578.1065923069042
5901.725026873056,3493.721229387656
3559.713886787219,1887.410822865655
5504.305280976962,3650.914421331123
4464.70422261992,2778.1217030138414
4114.1984736418,2394.1714493240606
5529.205767110611,3295.084628206695
8698.652084413041,5664.950347352403
5958.098057583596,4165.864674927543
3859.5184834784914,2325.4568159408136
3616.987554694592,1974.0404755887705
7129.0737697265595,3292.8883242419206
7522.595110665546,3913.8094650206062
6494.244000955311,4416.378331488555
5737.871928117473,3603.669175650052
2598.4512499308603,1373.081076639645
4644.931068769948,2418.6035483136748
6602.830657371902,4362.698520200114
1482.4832611460731,728.4938452085661
7719.8937013323775,4962.1216234074445
229.64350919322547,176.2097594121593
9072.482724980055,6764.405389403452
3520.3474406460414,2045.8265316854813
9940.239573009503,5270.417188440805
7421.175996008656,4152.803483777165
3041.757075479862,2087.9802274392605
6890.922499815659,4636.518747980763
7490.569029961025,6005.046783667654
5172.758360608334,2846.438297926312
2267.2642961304477,1240.995951558282
7653.055889558092,6002.099708601863
8025.991859540328,4029.7970644166153
5193.009671946855,3167.2851272159164
5915.9019551609,3971.314327870508
7604.609851636024,5139.910133788542
5477.443442273598,3807.730776152592
4942.732067012597,2672.2000215979783
5931.334125368799,4366.144798424254
3892.608047786215,2330.5841228807794
10009.231887423315,7472.764955390185
6482.276122295683,2994.852912993964
5392.35442448648,3753.5452606832514
2928.4801395452946,1552.4895298443582
9200.525782257362,5540.093789564562
3541.9340255999,1561.3457088752718
3875.3873115425854,1736.8108985474355
3869.641028264261,2299.7652921662975
2679.662385670561,1493.143643371395
6597.572554543472,4422.032732323268
7738.517800285005,4184.826460491108
8199.179762835844,5007.3517012561615
4670.231039095477,2295.9615298221465
6080.411438199186,4078.455904466604
6154.794253037593,4378.708168070139
5899.3655049994695,3916.196431648427
5276.552483982846,3503.3312147609136
7240.35867188098,4240.514453418552
6166.947761326277,4125.119757422646
4256.979290313342,2825.443979838704
4695.163212083762,2546.753144828322
7577.926876501181,5481.904652425605
5527.815813510198,4758.192005084823
8129.884374329772,5860.073689796335
5649.336680900873,3846.543968804785
9113.424432709524,6497.342005287057
6390.562950939935,4162.268121560801
4675.725494071176,3545.5916057729314
10842.982129091295,8436.859081718909
5252.3545305628,3584.6883402221047
2664.9199527,2363.630787894454
6317.042391083181,5146.083208159526
1859.7188035117163,1524.022129764559
4351.049550419606,3700.571189497243
4760.594698955119,2670.360154078442
1928.5408791670436,1754.625933582965
2721.9003637900264,2420.5645463451215
6962.493068136309,5037.007668106558
6068.552426956772,4381.060112276146
1465.818038950293,1141.204726121038
11836.07544386605,9135.330046015373
7205.672799872161,6789.233403888262
8023.898579604615,6222.121338036616
2184.5863760109573,1554.8942508840444
2571.223534268018,1580.7551719807118
3508.958197896852,3085.3618527992244
6688.099623528395,5801.618516545237
3609.7931754298393,2759.797606244879
1913.1224446661572,1420.2000201965757
3311.8531084912715,2008.6555405468657
8738.435648362682,6046.110821201236
9796.077223958899,7926.169285725969
4773.896175149885,2997.694149564018
7753.83152395938,5223.3240040697265
9448.633290533373,7372.150835286875
8333.59068713459,5623.270264921379
7593.663212174452,4149.925952143881
2399.502934529654,2129.1553254941537
3394.2546027531153,2445.7374526734106
5671.549434163555,4985.543588020094
2317.7562926487744,1904.3536564208162
2241.8400076025264,1630.81083926482
4241.89935491977,3863.701376309337
6561.37185149808,4482.787664872306
2589.948827389476,1812.9036319177815
4983.899816231401,3910.789697789689
4023.6089742477216,2687.424739177108
1087.9718383174772,792.798605917008
320.7570067026533,267.75595958607215
3642.1198357474436,2697.1160890788215
2774.039241937384,2366.7595594891964
3734.874635686374,2733.7894673453634
3324.6705674115087,2722.8578085255353
4459.898287736383,3726.259064847091
6583.237128768693,4612.039696804063
5582.613468417417,2859.834889138302
7509.266180148175,3920.3055945177694
11096.025180053362,8814.983237764643
2652.714892608181,1974.789787117336
1844.1173750663197,1530.9047955668134
1901.206472334748,1370.2458459311226
4173.979137769267,2864.4486458714687
4747.990130180143,3786.292753571551
9514.111485034333,7680.453362433365
6403.909228705274,4059.449815631519
4209.385208009919,2784.6329858258337
9676.598344631399,7868.456269393259
403.6800346722017,284.13740169852696
3787.9167145989086,3462.476350840504
3778.6217222459386,3018.1682716541377
9628.152306709333,7160.167384150748
5597.588750980843,4939.5236584300865
6173.882935109537,4103.540581055764
8916.455994638447,6624.06460657198
2508.483711795462,1695.635802012164
12032.774342496623,9377.237264089053
1727.1413562389646,1388.5900775999128
5189.056995684996,4655.034869523136
4788.346348616959,3571.493480191569
7063.2455493424,5056.096835139922
4902.207326537047,3237.9972074780485
4674.560105465481,3086.8363571500017
2611.979273900646,1847.1494343614656
3832.3686482952576,2536.371009496814
3359.950261177039,2486.2992226090905
1026.8558781834822,722.8159757053857
6061.899529920881,3897.815294153152
3529.2559440008135,2903.8676765180658
3937.4790685636676,3383.1491875184465
