,Y,X
1449,28961.707228568706,19727.680229314214
1450,30429.549796271353,22570.788816605032
1451,15363.989116854042,11955.448255543422
1452,34853.32210541334,24308.4297369026
1453,26467.55041028459,18119.301381988324
1454,19303.249593203003,15419.050675965967
1455,31674.07727590847,21521.530662010744
1456,29883.94890508942,21244.386020626443
1457,24719.947823913535,16349.603834204481
1458,34830.97352835845,25681.058177926792
1459,35610.3216848086,23885.06330751
1460,5552.619902682174,4689.0473335289935
1461,13872.437943273471,9908.382813278131
1462,5633.920528174203,4408.551097510241
1463,34846.98291879688,22809.344472200253
1464,13592.872542820503,10730.411345571667
1465,36963.64849175825,24570.837318321534
1466,20898.378771069503,16617.319581254276
1467,5665.0059625012955,4398.519431612784
1468,30412.07488263778,22286.654977954364
1469,29732.302518635675,20933.50241281856
1470,20142.481862936504,11899.992555541734
1471,29057.920739710607,19371.117425079894
1472,3800.1617057179155,3225.1531211190745
1473,19481.428555515875,14599.955425643391
1474,9807.653525877276,7613.6187852931325
1475,15315.813759266985,12422.621030314636
1476,27349.56458612531,17952.050111710927
1477,20309.246421173073,13266.65604486268
1478,6837.979422454088,5335.75631909684
1479,8213.286104660743,5896.727113735537
1480,21639.284413529003,15539.617609501114
1481,10067.027792562458,7198.775496816528
1482,25614.189356920113,17277.768124492446
1483,17542.90313074737,10815.153326945765
1484,4547.510865604134,1728.6446146687567
1485,2303.717826422689,1802.8239915822646
1486,14462.563957045772,9683.167066745978
1487,35482.17401858086,24960.692279493203
1488,36737.37367995662,26073.79459458006
1489,6704.154045756818,4725.462413662641
1490,19217.4582167599,14852.505976994495
1491,26826.618333674847,19139.45706852406
1492,25451.4566360446,17089.413404814783
1493,35486.10807248939,24848.359498572096
1494,3633.9592795641897,2614.831948924847
1495,16440.96938023029,13099.18388525943
1496,7800.68968595854,5348.676255824765
1497,41812.830343798414,25962.20749100547
1498,31116.52826368342,19839.211375569965
1499,41194.35167255264,26834.485564942395
1500,35878.18373379824,22507.091937730005
1501,29596.987725213952,18868.313043601884
1502,20510.98477707696,13983.462954636545
1503,25837.50681865122,17202.371873446158
1504,17350.478071670987,12371.7188734961
1505,29720.026060519656,18443.26530397702
1506,31791.58239751274,19726.368140005652
1507,36268.240224131085,24359.039782903557
1508,15469.081525882764,11429.603725849443
1509,29886.133792161632,18496.772748493255
1510,36116.30519064744,23193.60461556882
1511,36313.05483230836,23153.222896998534
1512,6171.270826061003,3768.000562577139
1513,3122.3120452500225,985.3507423871234
1514,30778.454068338044,18681.729820275847
1515,38399.83138858634,23789.95316397131
1516,15264.97386409958,11372.308326232915
1517,39226.86234304212,25461.052661048496
1518,37283.06059490703,23244.14305329228
1519,33080.1512650564,20221.647014720173
1520,14833.870886726729,9860.47472912361
1521,26435.067873632375,18316.419945372232
1522,23712.14985600465,14358.226738589514
1523,15554.283748420632,10875.082259709052
1524,22621.96522634452,15551.571165713078
1525,11125.32322894228,6013.025726848562
1526,39630.378497225924,24814.759191253528
1527,7657.869629245846,4960.975778129373
